Date,Open,High,Low,Close,Adj Close,Volume
2010-01-08,358.000000,359.250000,348.250000,349.899994,281.587463,6048178
2010-01-11,352.000000,360.049988,350.200012,357.100006,287.381775,4318408
2010-01-12,366.000000,377.000000,363.500000,375.024994,301.807220,9027690
2010-01-13,372.500000,398.200012,372.325012,394.274994,317.298950,10910272
2010-01-14,399.225006,399.225006,384.674988,389.924988,313.798279,10327614
2010-01-15,398.000000,399.799988,386.125000,395.700012,318.445709,7945008
2010-01-18,400.000000,414.500000,396.500000,401.100006,322.791504,7261084
2010-01-19,401.100006,401.100006,389.325012,390.350006,314.140198,5154850
2010-01-20,396.100006,396.100006,385.450012,389.700012,313.617157,4347054
2010-01-21,386.125000,395.975006,383.950012,385.325012,310.096191,5089504
2010-01-22,380.500000,382.500000,372.350006,378.924988,304.945740,7574990
2010-01-25,378.750000,382.750000,370.575012,378.100006,304.281708,3008286
2010-01-27,375.000000,379.850006,370.075012,371.649994,299.884247,4844398
2010-01-28,374.750000,378.975006,363.850006,370.875000,299.258850,6537196
2010-01-29,367.000000,369.899994,356.075012,368.100006,297.019806,5473326
2010-02-01,367.174988,381.399994,360.000000,373.075012,301.034027,3378012
2010-02-02,377.500000,381.325012,367.500000,369.200012,297.907349,4739188
2010-02-03,372.000000,378.450012,367.750000,376.475006,303.777405,2977676
2010-02-04,376.475006,376.950012,366.250000,369.350006,298.028381,2716612
2010-02-05,367.500000,367.500000,358.299988,361.750000,291.895935,4607118
2010-02-06,null,null,null,null,null,null
2010-02-08,364.500000,367.375000,354.075012,362.075012,292.158295,4170344
2010-02-09,362.500000,370.975006,360.524994,367.575012,296.596130,3005894
2010-02-10,369.950012,371.850006,364.049988,366.149994,295.446167,2337374
2010-02-11,368.975006,373.975006,367.500000,371.350006,299.642151,2413156
2010-02-15,375.000000,375.000000,369.274994,373.075012,301.034027,1956482
2010-02-16,373.625000,382.475006,371.100006,379.075012,305.875549,1660490
2010-02-17,382.450012,383.975006,376.274994,379.325012,306.077087,2528290
2010-02-18,380.000000,383.475006,377.750000,379.399994,306.137634,1814806
2010-02-19,377.450012,379.750000,372.899994,375.274994,302.809204,2215880
2010-02-22,378.500000,381.850006,376.899994,378.625000,305.512421,2143460
